       JADWAL SALAT Jakarta
 
 
            	JANUARI
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
14   4:38    5:56   11:57   15:14   17:57   19: 5    
15   4:38    5:56   11:57   15:14   17:57   19: 4    
16   4:38    5:56   11:57   15:14   17:56   19: 4    
17   4:37    5:56   11:57   15:14   17:56   19: 4    
18   4:37    5:56   11:57   15:14   17:55   19: 4    
19   4:37    5:55   11:56   15:14   17:55   19: 3    
20   4:37    5:55   11:56   15:14   17:55   19: 3    
21   4:37    5:55   11:56   15:14   17:54   19: 3    
22   4:37    5:55   11:56   15:14   17:54   19: 2    
23   4:37    5:55   11:55   15:14   17:54   19: 2    
24   4:36    5:55   11:55   15:14   17:53   19: 2    
25   4:36    5:55   11:55   15:14   17:53   19: 2    
26   4:36    5:55   11:55   15:14   17:53   19: 2    
27   4:36    5:55   11:55   15:14   17:52   19: 1    
28   4:36    5:55   11:55   15:14   17:52   19: 1    
29   4:36    5:55   11:54   15:14   17:52   19: 1    
30   4:36    5:55   11:54   15:14   17:52   19: 1    
 
 
            	MEI
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4:35    5:55   11:54   15:14   17:51   19: 1    
 2   4:35    5:55   11:54   15:14   17:51   19: 1    
 3   4:35    5:55   11:54   15:14   17:51   19: 0    
 4   4:35    5:55   11:54   15:14   17:51   19: 0    
 5   4:35    5:55   11:54   15:14   17:50   19: 0    
 6   4:35    5:55   11:54   15:13   17:50   19: 0    
 7   4:35    5:55   11:54   15:13   17:50   19: 0    
 8   4:35    5:55   11:54   15:13   17:50   19: 0    
 9   4:35    5:55   11:53   15:13   17:50   19: 0    
10   4:35    5:55   11:53   15:13   17:50   19: 0    
11   4:35    5:55   11:53   15:13   17:49   19: 0    
12   4:35    5:55   11:53   15:14   17:49   19: 0    
13   4:35    5:55   11:53   15:14   17:49   19: 0    
14   4:35    5:56   11:53   15:14   17:49   19: 0    
15   4:35    5:56   11:53   15:14   17:49   19: 0    
16   4:35    5:56   11:53   15:14   17:49   19: 0    
17   4:35    5:56   11:53   15:14   17:49   19: 0    
18   4:35    5:56   11:53   15:14   17:49   19: 0    
19   4:35    5:56   11:53   15:14   17:49   19: 0    
20   4:35    5:56   11:54   15:14   17:49   19: 0    
21   4:35    5:56   11:54   15:14   17:49   19: 0    
22   4:35    5:57   11:54   15:14   17:49   19: 0    
23   4:35    5:57   11:54   15:14   17:49   19: 0    
24   4:35    5:57   11:54   15:14   17:49   19: 0    
25   4:35    5:57   11:54   15:14   17:49   19: 0    
26   4:35    5:57   11:54   15:14   17:49   19: 0    
27   4:35    5:57   11:54   15:14   17:49   19: 0    
28   4:35    5:58   11:54   15:15   17:49   19: 1    
29   4:35    5:58   11:54   15:15   17:49   19: 1    
30   4:35    5:58   11:54   15:15   17:49   19: 1    
31   4:36    5:58   11:55   15:15   17:49   19: 1    
 
 
            	JUNI
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4:36    5:58   11:55   15:15   17:49   19: 1    
 2   4:36    5:59   11:55   15:15   17:49   19: 1    
 3   4:36    5:59   11:55   15:15   17:49   19: 2    
 4   4:36    5:59   11:55   15:16   17:49   19: 2    
 5   4:36    5:59   11:55   15:16   17:49   19: 2    
 6   4:36    6: 0   11:56   15:16   17:50   19: 2    
 7   4:37    6: 0   11:56   15:16   17:50   19: 2    
 8   4:37    6: 0   11:56   15:16   17:50   19: 2    
 9   4:37    6: 0   11:56   15:16   17:50   19: 3    
10   4:37    6: 0   11:56   15:17   17:50   19: 3    
11   4:37    6: 1   11:57   15:17   17:50   19: 3    
12   4:37    6: 1   11:57   15:17   17:50   19: 3    
13   4:38    6: 1   11:57   15:17   17:51   19: 3    
14   4:38    6: 1   11:57   15:17   17:51   19: 4    
15   4:38    6: 2   11:57   15:18   17:51   19: 4    
16   4:38    6: 2   11:58   15:18   17:51   19: 4    
17   4:38    6: 2   11:58   15:18   17:51   19: 4    
18   4:39    6: 2   11:58   15:18   17:52   19: 5    
19   4:39    6: 3   11:58   15:18   17:52   19: 5    
20   4:39    6: 3   11:58   15:19   17:52   19: 5    
21   4:39    6: 3   11:59   15:19   17:52   19: 5    
22   4:40    6: 3   11:59   15:19   17:53   19: 5    
23   4:40    6: 3   11:59   15:19   17:53   19: 6    
24   4:40    6: 4   11:59   15:20   17:53   19: 6    
25   4:40    6: 4   12: 0   15:20   17:53   19: 6    
26   4:40    6: 4   12: 0   15:20   17:53   19: 6    
27   4:41    6: 4   12: 0   15:20   17:54   19: 7    
28   4:41    6: 4   12: 0   15:20   17:54   19: 7    
29   4:41    6: 5   12: 0   15:21   17:54   19: 7    
30   4:41    6: 5   12: 1   15:21   17:54   19: 7    
 
 
            	JULI
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4:41    6: 5   12: 1   15:21   17:55   19: 7    
 2   4:42    6: 5   12: 1   15:21   17:55   19: 7    
 3   4:42    6: 5   12: 1   15:21   17:55   19: 8    
 4   4:42    6: 5   12: 1   15:22   17:55   19: 8    
 5   4:42    6: 6   12: 1   15:22   17:55   19: 8    
 6   4:42    6: 6   12: 2   15:22   17:56   19: 8    
 7   4:43    6: 6   12: 2   15:22   17:56   19: 8    
 8   4:43    6: 6   12: 2   15:22   17:56   19: 8    
 9   4:43    6: 6   12: 2   15:23   17:56   19: 9    
10   4:43    6: 6   12: 2   15:23   17:56   19: 9    
11   4:43    6: 6   12: 2   15:23   17:57   19: 9    
12   4:43    6: 6   12: 3   15:23   17:57   19: 9    
13   4:44    6: 6   12: 3   15:23   17:57   19: 9    
14   4:44    6: 6   12: 3   15:23   17:57   19: 9    
15   4:44    6: 6   12: 3   15:23   17:57   19: 9    
16   4:44    6: 6   12: 3   15:23   17:58   19: 9    
17   4:44    6: 7   12: 3   15:24   17:58   19: 9    
18   4:44    6: 7   12: 3   15:24   17:58   19:10    
19   4:44    6: 7   12: 3   15:24   17:58   19:10    
20   4:44    6: 7   12: 3   15:24   17:58   19:10    
21   4:44    6: 6   12: 3   15:24   17:58   19:10    
22   4:45    6: 6   12: 3   15:24   17:58   19:10    
23   4:45    6: 6   12: 3   15:24   17:59   19:10    
24   4:45    6: 6   12: 3   15:24   17:59   19:10    
25   4:45    6: 6   12: 4   15:24   17:59   19:10    
26   4:45    6: 6   12: 4   15:24   17:59   19:10    
27   4:45    6: 6   12: 4   15:24   17:59   19:10    
28   4:45    6: 6   12: 4   15:24   17:59   19:10    
29   4:45    6: 6   12: 3   15:24   17:59   19:10    
30   4:45    6: 6   12: 3   15:24   17:59   19:10    
31   4:45    6: 6   12: 3   15:24   17:59   19:10    
 
 
            	AGUSTUS
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4:45    6: 5   12: 3   15:24   17:59   19:10    
 2   4:45    6: 5   12: 3   15:23   17:59   19:10    
 3   4:45    6: 5   12: 3   15:23   17:59   19:10    
